Depth,Well,GR,RT,RHOB,NPHI,Facies
3427,14,4.1568,4.405,2.6281,0.0414,CB
3427.5,14,6.7175,8.024,2.596,0.0691,CB
3428,14,5.1133,11.039,2.498,0.0859,CB
3428.5,14,5.1995,5.5474,2.522,0.0993,CB
3429,14,6.2532,4.72,2.53,0.0903,CB
3429.5,14,5.8776,3.9652,2.589,0.071,CB
3430,14,7.561,4.5774,2.602,0.0505,CB
3430.5,14,4.0949,5.7037,2.5909,0.0556,CB
3431,14,3.655,8.0675,2.565,0.0668,CB
3431.5,14,5.5988,20.081,2.588,0.054,CB
3432,14,9.4566,6.7613,2.634,0.0541,CB
3432.5,14,5.2317,8.4585,2.65,0.0363,CB
3433,14,4.3834,9.8754,2.644,0.027,CB
3433.5,14,7.0638,6.8806,2.639,0.0291,CB
3434,14,3.8735,21.2846,2.654,0.021,CB
3434.5,14,4.5171,21.1124,2.68,0.0135,CB
3435,14,5.4354,21.803,2.605,0.0281,CB
3435.5,14,4.3691,45.9111,2.625,0.0398,CB
3436,14,6.9435,27.8266,2.587,0.065,CB
3436.5,14,5.9079,13.6118,2.5051,0.0764,CB
3437,14,5.7946,19.1853,2.5689,0.083,CB
3437.5,14,4.1451,12.2932,2.604,0.0413,CB
3438,14,5.7655,6.1973,2.696,0.0336,CB
3438.5,14,5.7027,5.9216,2.664,0.0254,CB
3439,14,6.7078,15.9307,2.615,0.0414,CB
3439.5,14,9.1497,18.9602,2.5721,0.0727,CB
3440,14,4.7831,17.9339,2.5479,0.0813,CB
3440.5,14,4.8327,15.8526,2.544,0.0847,CB
3441,14,6.2293,7.0919,2.5998,0.0616,CB
3441.5,14,6.9462,4.4922,2.618,0.0526,CB
3442,14,6.9303,3.8192,2.6091,0.0441,CB
3442.5,14,7.5828,6.8911,2.612,0.0501,CB
3443,14,7.4452,10.32,2.633,0.057,CB
3443.5,14,6.8394,14.3238,2.613,0.0596,CB
3444,14,6.6204,13.3128,2.582,0.0726,CB
3444.5,14,6.1161,7.7686,2.5471,0.0689,CB
3445,14,6.9359,6.354,2.561,0.083,CB
3445.5,14,5.6916,4.4978,2.569,0.0791,CB
3446,14,5.7347,4.7227,2.5501,0.0712,CB
3446.5,14,6.5036,5.059,2.503,0.0733,CB
3447,14,4.6231,4.7775,2.525,0.0956,CB
3447.5,14,5.1453,3.7795,2.637,0.079,CB
3448,14,6.7128,3.8593,2.649,0.0563,CB
3448.5,14,7.3059,8.0019,2.647,0.051,CB
3449,14,11.0026,10.3547,2.6449,0.0484,CB
3449.5,14,8.633,4.7777,2.6061,0.0343,CB
3450,14,7.1791,13.8239,2.645,0.0371,CB
3450.5,14,10.2761,18.3381,2.64,0.0501,CB
3451,14,6.3196,7.1769,2.626,0.0494,CB
3451.5,14,8.5387,8.9415,2.6031,0.0641,CB
3452,14,7.4883,9.8339,2.611,0.069,CB
3452.5,14,12.8078,6.8026,2.5711,0.082,CB
3453,14,5.829,4.6484,2.542,0.0719,CB
3453.5,14,6.4134,5.6469,2.6079,0.0669,CB
3454,14,4.1629,5.9566,2.613,0.0568,CB
3454.5,14,6.5407,10.0641,2.612,0.0542,CB
3455,14,5.3491,9.5703,2.6239,0.0651,CB
3455.5,14,6.2726,6.9378,2.638,0.0484,CB
3456,14,5.759,16.4119,2.634,0.0388,CB
3456.5,14,6.6536,16.9559,2.647,0.0405,CB
3457,14,5.9015,15.5938,2.6391,0.0362,CB
3457.5,14,8.1259,16.418,2.621,0.0379,CB
3458,14,5.8827,14.2493,2.661,0.0359,CB
3458.5,14,6.1148,16.8538,2.658,0.0399,CB
3459,14,6.5728,16.6013,2.6599,0.0409,CB
3459.5,14,5.9718,15.8754,2.636,0.0391,CB
3460,14,6.8382,17.8117,2.674,0.0397,CB
3460.5,14,8.014,17.0951,2.653,0.0407,CB
3461,14,7.1776,16.8315,2.638,0.0477,CB
3461.5,14,5.9189,16.367,2.637,0.0475,CB
3462,14,5.444,13.098,2.636,0.0445,CB
3462.5,14,6.6581,16.5626,2.642,0.0477,CB
3463,14,5.7599,12.5454,2.606,0.0571,CB
3463.5,14,7.904,10.0722,2.662,0.0466,CB
3464,14,7.7399,11.1679,2.643,0.0445,CB
3464.5,14,6.5899,13.989,2.605,0.0541,CB
3465,14,7.8419,9.8407,2.6,0.0553,CB
3465.5,14,7.7956,8.8298,2.602,0.0563,CB
3466,14,6.3838,9.3894,2.617,0.0581,CB
3466.5,14,6.3558,10.5497,2.5721,0.0502,CB
3467,14,5.608,8.2559,2.611,0.0555,CB
3467.5,14,6.8786,9.0818,2.624,0.0508,CB
3468,14,7.4049,10.0961,2.6299,0.0538,CB
3468.5,14,5.9578,8.9081,2.585,0.0641,CB
3469,14,5.9483,7.013,2.604,0.0642,CB
3469.5,14,5.8231,5.9172,2.575,0.0645,CB
3470,14,7.1854,7.0742,2.606,0.0649,CB
3470.5,14,6.4272,7.5074,2.59,0.0648,CB
3471,14,8.4567,6.5209,2.594,0.0626,CB
3471.5,14,11.3218,7.6699,2.6409,0.0568,CB
3472,14,7.5268,8.8594,2.598,0.055,CB
3472.5,14,7.1277,7.6388,2.598,0.061,CB
3473,14,6.4673,8.1362,2.606,0.0616,CB
3473.5,14,8.2952,8.9678,2.6081,0.0532,CB
3474,14,9.4626,7.3568,2.601,0.0614,CB
3474.5,14,6.7289,6.2049,2.5741,0.0672,CB
3475,14,11.1928,6.5363,2.593,0.0682,CB
3475.5,14,10.528,4.7497,2.607,0.064,CB
3476,14,14.5363,4.5678,2.5591,0.0813,CB
3476.5,14,15.0381,5.5608,2.558,0.0999,CB
3477,14,13.6151,3.5414,2.5499,0.1105,CB
3477.5,14,16.5503,3.9534,2.5729,0.1049,CB
3478,14,14.5929,4.6622,2.593,0.08,CB
3478.5,14,14.7062,2.6923,2.575,0.099,CB
3479,14,14.511,3.2803,2.578,0.1076,CB
3479.5,14,12.134,2.7356,2.523,0.1119,CB
3480,14,15.5755,2.7052,2.5651,0.1278,CB
3480.5,14,18.5465,2.6369,2.582,0.1374,CB
3481,14,11.9897,2.696,2.5141,0.1234,CB
3481.5,14,11.5124,2.71,2.5589,0.1261,CB
3482,14,10.904,2.7653,2.538,0.125,CB
3482.5,14,11.342,2.1443,2.504,0.1359,CB
3483,14,10.8048,1.866,2.462,0.1623,CB
3483.5,14,11.405,2.7796,2.476,0.1433,CB
3484,14,10.72,3.207,2.538,0.1161,CB
3484.5,14,9.591,2.7399,2.5202,0.0546,CB
3485,14,11.8651,4.3306,2.5819,0.1067,CB
3485.5,14,10.4879,2.2942,2.509,0.1115,CB
3486,14,5.6725,2.8909,2.4501,0.1045,CB
3486.5,14,6.5999,3.2987,2.527,0.0301,CB
3487,14,12.1193,3.5573,2.558,0.0906,CB
3487.5,14,11.9386,3.7179,2.6289,0.1067,CB
3488,14,11.2603,3.7761,2.569,0.0995,CB
3488.5,14,9.657,3.1487,2.541,0.1073,CB
3489,14,11.7917,3.6431,2.5361,0.119,CB
3489.5,14,9.5041,2.4002,2.5208,0.1518,CB
3490,14,12.1066,2.3576,2.4719,0.14,CB
3490.5,14,10.8114,2.5246,2.4191,0.1228,CB
3491,14,10.9269,2.9571,2.437,0.1154,CB
3491.5,14,11.231,2.8321,2.3303,0.1161,CB
3492,14,14.783,2.9899,2.562,0.1111,CB
3492.5,14,9.9791,2.4057,2.478,0.1424,CB
3493,14,7.482,2.1101,2.5059,0.1191,CB
3493.5,14,11.3865,2.0829,2.48,0.1421,CB
3494,14,14.1496,2.679,2.532,0.1337,CB
3494.5,14,12.9234,3.1285,2.5579,0.1351,CB
3495,14,10.9397,3.3824,2.5191,0.1276,CB
3495.5,14,9.9,2.4101,2.6078,0.1219,CB
3496,14,10.8918,2.7469,2.556,0.1061,CB
3496.5,14,10.644,3.3506,2.551,0.1094,CB
3497,14,10.2489,3.7575,2.5151,0.0946,CB
3497.5,14,6.3222,3.4274,2.664,0.0501,CB
3498,14,12.6238,4.6004,2.648,0.0714,CB
3498.5,14,10.3617,10.0938,2.6809,0.077,CB
3499,14,8.7151,5.3465,2.6391,0.0651,CB
3499.5,14,6.62,6.5307,2.66,0.0309,CB
3500,14,7.2603,4.7612,2.6849,0.0325,CB
3500.5,14,8.7967,9.3221,2.6539,0.0397,CB
3501,14,10.5597,12.432,2.666,0.0472,CB
3501.5,14,9.5708,6.6279,2.638,0.0484,CB
3502,14,11.8772,7.3388,2.633,0.0616,CB
3502.5,14,16.1513,9.937,2.627,0.0792,CB
3503,14,10.5189,4.4279,2.635,0.0609,CB
3503.5,14,6.2437,5.3155,2.631,0.0478,CB
3504,14,8.4762,6.6123,2.6509,0.0543,CB
3504.5,14,9.9825,7.9735,2.6529,0.0685,CB
3505,14,10.5331,4.9052,2.6121,0.0618,CB
3505.5,14,12.1125,6.0211,2.5791,0.0695,CB
3506,14,11.5763,5.5865,2.587,0.0837,CB
3506.5,14,10.8571,4.2544,2.589,0.0862,CB
3507,14,10.675,4.226,2.5162,0.0896,CB
3507.5,14,6.1351,4.0033,2.551,0.0992,CB
3508,14,8.8963,3.3079,2.581,0.1005,CB
3508.5,14,12.6907,3.6806,2.5869,0.1266,CB
3509,14,12.0031,3.4893,2.5091,0.1415,CB
3509.5,14,8.6452,2.7814,2.5421,0.0993,CB
3510,14,8.9871,2.9379,2.5681,0.0995,CB
3510.5,14,9.2416,3.5289,2.6001,0.0688,CB
3511,14,8.6076,4.0708,2.593,0.0746,CB
3511.5,14,14.1291,4.7897,2.5859,0.0735,CB
3512,14,10.1345,3.8539,2.585,0.0653,CB
3512.5,14,9.4822,4.1192,2.616,0.0768,CB
3513,14,7.5423,4.6606,2.619,0.079,CB
3513.5,14,10.7876,4.0852,2.611,0.0755,CB
3514,14,8.5632,4.5758,2.6059,0.0739,CB
3514.5,14,11.9044,4.1017,2.5789,0.0902,CB
3515,14,12.3103,3.963,2.607,0.0941,CB
3515.5,14,10.102,3.2609,2.584,0.093,CB
3516,14,10.7783,4.5954,2.5959,0.0915,CB
3516.5,14,12.0608,3.5825,2.588,0.0882,CB
3517,14,9.1889,3.6383,2.6109,0.0884,CB
3517.5,14,9.4081,3.7437,2.546,0.0835,CB
3518,14,10.9877,4.285,2.578,0.088,CB
3518.5,14,13.3783,3.689,2.6,0.0856,CB
3519,14,8.9914,3.7032,2.618,0.0831,CB
3519.5,14,10.3295,3.9778,2.5981,0.0696,CB
3520,14,9.6217,4.4261,2.615,0.0703,CB
3520.5,14,8.5018,5.124,2.5861,0.0768,CB
3521,14,8.2061,4.6335,2.579,0.0737,CB
3521.5,14,10.9197,4.9084,2.614,0.0647,CB
3522,14,9.2121,4.9922,2.6181,0.0671,CB
3522.5,14,9.2892,5.2724,2.6061,0.0853,CB
3523,14,9.8584,4.8735,2.5851,0.0839,CB
3523.5,14,10.4565,4.4017,2.617,0.0819,CB
3524,14,10.5768,4.1243,2.598,0.0792,CB
3524.5,14,10.0454,3.8647,2.596,0.0686,CB
3525,14,9.5415,4.7901,2.588,0.0747,CB
3525.5,14,10.7016,5.0261,2.595,0.0889,CB
3526,14,9.4352,3.9791,2.61,0.0861,CB
3526.5,14,8.2595,3.5339,2.591,0.0835,CB
3527,14,8.5423,4.1793,2.605,0.074,CB
3527.5,14,10.2558,4.3934,2.588,0.0771,CB
3528,14,8.2662,4.4859,2.629,0.0736,CB
3528.5,14,8.9237,3.9789,2.62,0.0646,CB
3529,14,9.4323,4.7456,2.616,0.0647,CB
3529.5,14,9.5687,5.7158,2.615,0.0646,CB
3530,14,10.7191,5.9277,2.596,0.0643,CB
3530.5,14,10.7795,5.4114,2.613,0.0738,CB
3531,14,8.1713,4.1466,2.632,0.0675,CB
3531.5,14,7.4003,7.3682,2.612,0.0605,CB
3532,14,7.8208,6.3099,2.606,0.0615,CB
3532.5,14,7.6286,7.5769,2.612,0.057,CB
3533,14,7.3977,7.755,2.6349,0.0592,CB
3533.5,14,7.1761,6.7396,2.63,0.051,CB
3534,14,5.327,11.1037,2.641,0.0408,CB
3534.5,14,5.6784,9.4043,2.63,0.049,CB
3535,14,6.4618,9.0853,2.6071,0.0457,CB
3535.5,14,8.1745,10.3757,2.603,0.0489,CB
3536,14,7.5622,6.8861,2.627,0.0541,CB
3536.5,14,6.4624,10.4547,2.621,0.0539,CB
3537,14,6.6941,5.966,2.6,0.0682,CB
3537.5,14,6.3694,7.0354,2.609,0.0674,CB
3538,14,7.5298,5.0245,2.5961,0.0696,CB
3538.5,14,9.0525,5.2107,2.6379,0.0704,CB
3539,14,7.5782,5.0741,2.6069,0.0695,CB
3539.5,14,6.2575,6.5402,2.621,0.0642,CB
3540,14,7.856,5.8374,2.5961,0.0674,CB
3540.5,14,10.4624,4.3819,2.611,0.081,CB
3541,14,7.8657,5.1771,2.604,0.0615,CB
3541.5,14,7.7238,7.1135,2.597,0.062,CB
3542,14,8.9791,4.2358,2.553,0.0861,CB
3542.5,14,8.6991,2.9977,2.5769,0.1127,CB
3543,14,8.3079,3.716,2.629,0.0753,CB
3543.5,14,10.6177,4.8644,2.649,0.0737,CB
3544,14,7.9344,3.2929,2.59,0.1045,CB
3544.5,14,7.1161,6.1491,2.58,0.0739,CB
3545,14,10.6573,3.9538,2.536,0.1023,CB
3545.5,14,12.7453,2.3921,2.546,0.1271,CB
3546,14,9.8804,3.0773,2.5291,0.1088,CB
3546.5,14,9.65,3.0886,2.549,0.1059,CB
3547,14,10.3573,2.2924,2.5071,0.1158,CB
3547.5,14,7.9758,2.389,2.491,0.1203,CB
3548,14,11.4342,2.9903,2.527,0.1107,CB
3548.5,14,9.8967,2.973,2.5439,0.0976,CB
3549,14,8.2455,4.1797,2.587,0.0946,CB
3549.5,14,7.4309,2.9828,2.494,0.1036,CB
3550,14,8.3147,2.885,2.557,0.1026,CB
3550.5,14,8.6451,4.3657,2.5739,0.0899,CB
3551,14,10.2543,3.352,2.5401,0.0986,CB
3551.5,14,8.051,4.3637,2.5869,0.0955,CB
3552,14,11.0163,3.1771,2.5371,0.0971,CB
3552.5,14,7.6221,3.8908,2.498,0.1048,CB
3553,14,8.5376,2.9066,2.51,0.1064,CB
3553.5,14,9.2687,1.7879,2.4591,0.1347,CB
3554,14,7.6833,2.4925,2.451,0.1249,CB
3554.5,14,7.6227,2.7852,2.4841,0.1106,CB
3555,14,9.1675,2.5728,2.507,0.1281,CB
3555.5,14,7.7951,3.7163,2.55,0.0991,CB
3556,14,8.3278,3.4128,2.542,0.1008,CB
3556.5,14,6.8141,3.033,2.517,0.1052,CB
3557,14,6.2148,2.7549,2.4511,0.1112,CB
3557.5,14,7.1327,2.404,2.4849,0.1107,CB
3558,14,10.6025,2.384,2.465,0.1216,CB
3558.5,14,11.1023,2.5977,2.494,0.1369,CB
3559,14,11.9028,2.1011,2.4681,0.1292,CB
3559.5,14,17.669,2.0167,2.51,0.1362,CB
3560,14,15.2774,2.1856,2.495,0.1455,CB
3560.5,14,13.886,2.1357,2.5049,0.1526,CB
3561,14,14.7052,2.4544,2.5489,0.1325,CB
3561.5,14,18.1623,2.1867,2.49,0.1217,CB
3562,14,12.0942,2.1814,2.467,0.1403,CB
3562.5,14,10.2409,1.8797,2.4381,0.1429,CB
3563,14,10.7712,2.1092,2.4969,0.1502,CB
3563.5,14,10.9291,2.0612,2.458,0.1457,CB
3564,14,11.2877,2.4261,2.519,0.129,CB
3564.5,14,13.9991,2.0196,2.5011,0.1397,CB
3565,14,10.7403,1.9928,2.461,0.159,CB
3565.5,14,11.1672,1.949,2.495,0.1364,CB
3566,14,13.3159,2.2469,2.498,0.1455,CB
3566.5,14,11.9482,2.0039,2.493,0.1349,CB
3567,14,15.8106,1.8425,2.474,0.146,CB
3567.5,14,14.7282,1.8649,2.421,0.1408,CB
3568,14,10.1889,1.348,2.4469,0.1591,CB
3568.5,14,9.2856,1.5458,2.4079,0.1612,CB
3569,14,10.11,1.4646,2.441,0.1569,CB
3569.5,14,10.5571,1.5838,2.415,0.1557,CB
3570,14,10.6509,1.5843,2.428,0.1613,CB
3570.5,14,13.7969,1.7847,2.484,0.1656,CB
3571,14,12.1413,1.8065,2.486,0.1595,CB
3571.5,14,12.8309,1.7518,2.448,0.1541,CB
3572,14,10.5399,1.7058,2.426,0.1504,CB
3572.5,14,11.1371,1.8406,2.4729,0.1449,CB
3573,14,12.194,2.1236,2.486,0.1427,CB
3573.5,14,11.2809,2.2205,2.5519,0.1325,CB
3574,14,10.8581,2.1292,2.487,0.1377,CB
3574.5,14,13.3936,1.7028,2.495,0.1395,CB
3575,14,13.231,1.9788,2.523,0.1266,CB
3575.5,14,13.0132,1.7896,2.4831,0.1362,CB
3576,14,11.4238,1.8148,2.4679,0.145,CB
3576.5,14,13.5653,1.809,2.5,0.1471,CB
3577,14,10.1746,1.803,2.4501,0.1506,CB
3577.5,14,12.8441,1.7209,2.4351,0.1484,CB
3578,14,12.6925,1.8493,2.472,0.1432,CB
3578.5,14,16.6299,1.7748,2.478,0.1393,CB
3579,14,13.7992,2.0965,2.4821,0.1439,CB
3579.5,14,16.7427,1.6074,2.488,0.135,CB
3580,14,12.9143,1.8609,2.4481,0.1491,CB
3580.5,14,12.3714,1.8239,2.5089,0.1463,CB
3581,14,14.4422,2.1409,2.49,0.1438,CB
3581.5,14,12.0183,2.0125,2.516,0.1411,CB
3582,14,11.3011,1.7058,2.456,0.1441,CB
3582.5,14,9.8089,1.9018,2.4451,0.139,CB
3583,14,15.0001,1.6986,2.5009,0.1341,CB
3583.5,14,13.5857,1.8258,2.4531,0.1526,CB
3584,14,12.3022,1.7269,2.45,0.1467,CB
3584.5,14,11.9118,1.9181,2.476,0.1506,CB
3585,14,16.9291,2.0431,2.5089,0.1363,CB
3585.5,14,19.7477,2.042,2.5359,0.1365,CB
3586,14,19.8316,1.6317,2.533,0.141,SS
3586.5,14,29.1052,1.7556,2.507,0.1734,UN
3587,14,19.6598,1.8057,2.522,0.1453,SS
3587.5,14,13.9228,2.1203,2.4779,0.1258,CB
3588,14,16.187,2.1577,2.5289,0.1363,CB
3588.5,14,20.7199,2.1133,2.49,0.1454,CB
3589,14,18.667,2.2108,2.4871,0.1351,CB
3589.5,14,17.433,2.252,2.495,0.1432,CB
3590,14,12.716,2.2653,2.494,0.1304,CB
3590.5,14,14.815,1.9295,2.491,0.1231,CB
3591,14,14.3949,2.149,2.481,0.1427,CB
3591.5,14,29.787,2.3099,2.473,0.14,CB
3592,14,13.1803,2.1904,2.4451,0.1397,CB
3592.5,14,14.8635,2.1778,2.515,0.129,CB
3593,14,12.0561,2.3472,2.492,0.1391,CB
3593.5,14,13.4135,2.2161,2.494,0.1337,CB
3594,14,12.8754,2.357,2.479,0.1295,CB
3594.5,14,14.2635,2.4686,2.526,0.1175,CB
3595,14,16.231,2.6237,2.497,0.1203,CB
3595.5,14,11.684,2.3557,2.463,0.1321,CB
3596,14,11.752,2.1536,2.518,0.125,CB
3596.5,14,17.6174,2.1207,2.5421,0.1233,CB
3597,14,18.9734,2.7728,2.497,0.131,CB
3597.5,14,12.8418,2.2759,2.4651,0.1318,CB
3598,14,11.8842,2.7383,2.522,0.1336,CB
3598.5,14,14.259,2.6962,2.488,0.113,CB
3599,14,14.2761,1.9882,2.5301,0.1216,CB
3599.5,14,12.1145,2.3633,2.511,0.1119,CB
3600,14,17.0484,2.639,2.536,0.129,CB
3600.5,14,11.4864,2.7739,2.509,0.1162,CB
3601,14,13.7041,2.6635,2.5139,0.122,CB
3601.5,14,11.7399,1.9339,2.478,0.1367,CB
3602,14,12.6928,2.562,2.4781,0.1421,CB
3602.5,14,11.0973,2.3736,2.5048,0.1334,CB
3603,14,9.4528,1.9813,2.496,0.132,CB
3603.5,14,13.5748,1.6889,2.5099,0.1297,CB
3604,14,10.925,1.8673,2.5041,0.1265,CB
3604.5,14,14.0685,2.2165,2.5249,0.1291,CB
3605,14,13.1949,2.1871,2.515,0.1333,CB
3605.5,14,20.0594,2.1461,2.5339,0.1305,CB
3606,14,13.2187,1.7632,2.5021,0.1323,CB
3606.5,14,12.656,2.1613,2.496,0.1354,CB
3607,14,13.9157,1.809,2.4811,0.1368,CB
3607.5,14,14.8102,2.202,2.485,0.1341,CB
3608,14,17.7181,2.4783,2.4981,0.1308,CB
3608.5,14,13.071,2.2171,2.486,0.1383,CB
3609,14,10.5823,1.9929,2.4391,0.1571,CB
3609.5,14,10.4449,2.1149,2.5169,0.1354,CB
3610,14,9.3972,2.2174,2.4321,0.1397,CB
3610.5,14,13.283,1.8493,2.4829,0.133,CB
3611,14,11.9492,1.9963,2.4811,0.1216,CB
3611.5,14,19.411,2.3607,2.541,0.1216,CB
3612,14,14.6722,1.5892,2.505,0.1285,CB
3612.5,14,14.0325,2.5375,2.5329,0.1248,CB
3613,14,10.7897,2.2582,2.4401,0.1363,CB
3613.5,14,10.7156,2.3292,2.536,0.1036,CB
3614,14,13.1121,2.1573,2.5071,0.1144,CB
3614.5,14,17.2693,2.6241,2.564,0.1137,CB
3615,14,17.2511,2.6858,2.5531,0.1011,CB
3615.5,14,15.5506,2.4301,2.511,0.1158,CB
3616,14,27.8989,3.2068,2.5001,0.1234,CB
3616.5,14,22.6279,2.9159,2.55,0.1257,CB
3617,14,19.0823,3.9402,2.537,0.1137,CB
3617.5,14,24.9989,2.9918,2.567,0.1082,CB
3618,14,21.6667,3.0145,2.575,0.1216,CB
3618.5,14,14.7193,2.8443,2.542,0.1353,CB
3619,14,15.7859,4.2319,2.5399,0.1214,CB
3619.5,14,11.1791,4.0256,2.5629,0.0984,CB
3620,14,11.2543,4.0102,2.536,0.1048,CB
3620.5,14,11.9659,4.0049,2.5709,0.1008,CB
3621,14,9.9421,3.472,2.581,0.097,CB
3621.5,14,12.7538,4.7049,2.562,0.0961,CB
3622,14,8.9389,4.7424,2.5192,0.1073,CB
3622.5,14,11.9284,4.0756,2.5559,0.099,CB
3623,14,9.7839,3.7925,2.552,0.1009,CB
3623.5,14,9.4547,3.9929,2.502,0.1056,CB
3624,14,11.0619,3.9341,2.558,0.0889,CB
3624.5,14,9.1682,3.6122,2.574,0.1025,CB
3625,14,15.8653,4.0782,2.563,0.0961,CB
3625.5,14,15.9041,3.3322,2.571,0.1022,CB
3626,14,13.9448,4.5226,2.5649,0.0955,CB
3626.5,14,13.6139,4.1382,2.5899,0.1057,CB
3627,14,14.133,4.7082,2.5619,0.0984,CB
3627.5,14,11.8071,4.0702,2.4941,0.1199,CB
3628,14,11.0887,4.0647,2.4919,0.1294,CB
3628.5,14,8.4213,4.3838,2.5319,0.1105,CB
3629,14,8.4744,4.3593,2.4851,0.0992,CB
3629.5,14,12.8762,3.5556,2.5451,0.0965,CB
3630,14,13.8498,3.0757,2.554,0.107,CB
3630.5,14,20.9894,3.4308,2.547,0.0932,CB
3631,14,20.8157,4.1803,2.5529,0.1037,CB
3631.5,14,24.4277,4.3813,2.549,0.1019,CB
3632,14,24.6949,3.9173,2.5749,0.1095,CB
3632.5,14,18.3836,4.276,2.5639,0.1077,CB
3633,14,24.4147,4.3065,2.53,0.1082,CB
3633.5,14,25.5944,4.1733,2.5441,0.1163,CB
3634,14,24.6195,5.254,2.5711,0.1235,CB
3634.5,14,14.4926,4.4914,2.542,0.0991,CB
3635,14,23.4076,3.8567,2.5501,0.1022,CB
3635.5,14,16.1229,4.3794,2.552,0.1069,CB
3636,14,17.0653,5.2738,2.6039,0.1088,CB
3636.5,14,13.3782,6.1668,2.602,0.0862,CB
3637,14,11.7207,4.643,2.6299,0.0811,CB
3637.5,14,11.8997,7.4176,2.5761,0.0953,CB
3638,14,13.7119,6.0753,2.553,0.094,CB
3638.5,14,9.4709,7.3601,2.543,0.0976,CB
3639,14,8.2346,6.55,2.535,0.0889,CB
3639.5,14,9.4504,5.6077,2.522,0.0942,CB
3640,14,16.2172,5.3354,2.546,0.0953,CB
3640.5,14,14.3463,5.775,2.5701,0.0941,CB
3641,14,16.027,5.4436,2.542,0.0836,CB
3641.5,14,14.9472,7.0247,2.571,0.0775,CB
3642,14,10.2044,5.1597,2.521,0.0949,CB
3642.5,14,9.64,3.9258,2.5549,0.0956,CB
3643,14,7.682,5.1652,2.559,0.0791,CB
3643.5,14,12.0691,4.9408,2.5551,0.0968,CB
3644,14,18.5128,4.8344,2.543,0.1004,CB
3644.5,14,14.4853,4.7788,2.558,0.0893,CB
3645,14,10.5593,5.4793,2.5559,0.0816,CB
3645.5,14,11.4048,6.7432,2.5689,0.0772,CB
3646,14,18.1126,8.5129,2.5709,0.0816,CB
3646.5,14,9.761,4.5454,2.533,0.0779,CB
3647,14,11.4506,8.6551,2.4771,0.0835,CB
3647.5,14,18.2347,4.3844,2.472,0.1142,CB
3648,14,19.7996,4.6813,2.525,0.12,CB
3648.5,14,16.3985,3.6977,2.56,0.1049,CB
3649,14,17.0217,12.8026,2.532,0.0861,CB
3649.5,14,27.5557,6.6782,2.515,0.1287,CB
3650,14,14.3147,7.2485,2.5271,0.1024,CB
3650.5,14,13.5733,5.5304,2.557,0.078,CB
3651,14,15.0652,7.2686,2.481,0.104,CB
3651.5,14,23.7115,4.4319,2.505,0.1176,CB
3652,14,16.6949,3.7262,2.493,0.1266,CB
3652.5,14,8.6251,5.4118,2.4419,0.1303,CB
3653,14,8.9661,4.6195,2.374,0.1618,CB
3653.5,14,10.7601,5.6492,2.468,0.1277,CB
3654,14,15.6829,6.8727,2.4551,0.1165,CB
3654.5,14,13.585,4.5558,2.466,0.1337,CB
3655,14,9.3841,3.6943,2.443,0.1237,CB
3655.5,14,22.9399,7.3794,2.477,0.1206,CB
3656,14,23.0441,5.2363,2.529,0.1632,CB
3656.5,14,29.9429,6.257,2.501,0.1274,CB
3657,14,21.2488,3.8274,2.519,0.1514,CB
3657.5,14,26.2722,3.1795,2.512,0.1109,CB
3658,14,17.6107,3.3221,2.533,0.1024,CB
3658.5,14,24.8583,5.9525,2.507,0.1334,CB
3659,14,26.7696,3.7858,2.505,0.1506,CB
3659.5,14,12.4033,3.4454,2.535,0.1113,CB
3660,14,31.0737,6.7995,2.51,0.1331,CB
3660.5,14,40.3695,5.7792,2.5789,0.1081,CB
3661,14,14.9611,2.5043,2.5949,0.112,CB
3661.5,14,17.2319,9.5277,2.53,0.096,CB
3662,14,20.6019,3.7905,2.564,0.1095,CB
3662.5,14,28.4899,7.6094,2.555,0.1024,CB
3663,14,17.83,5.2875,2.5779,0.1075,CB
3663.5,14,6.6538,4.3586,2.5211,0.0808,CB
3664,14,4.9457,3.0981,2.521,0.0853,CB
3664.5,14,6.2503,10.8617,2.5729,0.082,CB
3665,14,7.6863,4.0411,2.58,0.0582,CB
3665.5,14,6.588,7.1143,2.6399,0.0557,CB
3666,14,13.5372,7.5251,2.5741,0.0632,CB
3666.5,14,30.8752,7.372,2.591,0.1135,CB
3667,14,24.4337,2.335,2.617,0.0974,CB
3667.5,14,24.2863,3.0435,2.562,0.1069,CB
3668,14,19.8823,2.4111,2.552,0.0951,CB
3668.5,14,21.9891,3.2682,2.576,0.1025,CB
3669,14,27.5418,3.0058,2.549,0.1129,CB
3669.5,14,28.6122,2.7174,2.5909,0.1234,CB
3670,14,21.0781,1.977,2.555,0.1212,CB
3670.5,14,26.8764,3.0062,2.57,0.1209,SS
3671,14,31.1497,2.096,2.56,0.1245,SS
3671.5,14,19.2908,1.7577,2.54,0.1424,CB
3672,14,22.9326,2.9946,2.554,0.1038,CB
3672.5,14,27.6352,3.1079,2.549,0.1077,CB
3673,14,29.7951,2.5419,2.53,0.1249,SS
3673.5,14,19.3792,2.2439,2.5381,0.1264,CB
3674,14,17.4921,2.7747,2.561,0.1037,CB
3674.5,14,23.179,3.3608,2.575,0.11,CB
3675,14,33.7891,3.3429,2.5671,0.1256,CB
3675.5,14,26.8468,2.1984,2.603,0.0905,CB
3676,14,28.3415,6.2037,2.614,0.0853,CB
